job_title,company_name,location,city,experience,salary,skills,job_description,job_domain,job_type,date_posted,source_portal
Deep Learning Engineer,Infowind Technologies,"Surat, Gujarat, India",Surat,4-6 years,Not Disclosed,"Python, ML Engineer, MLflow, Kubeflow, Feature Store","We are looking for a passionate Deep Learning Engineer to join our growing team in Surat. You will work with Python, ML Engineer, MLflow and collaborate with cross-functional teams to deliver high-quality solutions. Strong problem-solving skills essential.",Artificial Intelligence / Machine Learning,Full-time,2026-01-26,Glassdoor
Unreal Engine Developer,Softvan Pvt Ltd,"Surat, Gujarat, India",Surat,4-6 years,Not Disclosed,"Unreal Engine, C++, Blueprint, Game Design","Exciting opportunity for an experienced Unreal Engine Developer at our Surat office. The ideal candidate will have hands-on experience with Unreal Engine, C++, Blueprint, excellent communication skills, and a track record of delivering projects on time.",Game Development,Full-time,2026-02-26,Indeed
AWS Solutions Architect,Tata Consultancy Services,"Surat, Gujarat, India",Surat,Fresher / 0-1 years,"₹6,946/month","Azure, Azure DevOps, ARM Templates, Azure Functions","Seeking a motivated AWS Solutions Architect to strengthen our Surat team. Experience with Azure, Azure DevOps, ARM Templates is mandatory. Participate in sprint planning, code reviews, and technical documentation.",Cloud Computing,Internship,2026-03-12,Indeed
PHP Developer,Arrant Technologies,"Surat, Gujarat, India",Surat,7-10 years,Not Disclosed,"PHP, Laravel, MySQL, JavaScript, jQuery, Bootstrap","We are looking for a passionate PHP Developer to join our growing team in Surat. You will work with PHP, Laravel, MySQL and collaborate with cross-functional teams to deliver high-quality solutions. Strong problem-solving skills essential.",Web Development,Contract,2026-01-23,Glassdoor
System Administrator,Mobisoft Infotech,"Surat, Gujarat, India",Surat,Fresher / 0-1 years,"₹18,660/month","Technical Support, Windows Server, Active Directory, Help Desk","Seeking a motivated System Administrator to strengthen our Surat team. Experience with Technical Support, Windows Server, Active Directory is mandatory. Participate in sprint planning, code reviews, and technical documentation.",Technical Support / IT Operations,Internship,2026-03-16,LinkedIn
Infrastructure Engineer,DigiPrima Technologies,"Surat, Gujarat, India",Surat,2-4 years,7.0-11.8 LPA,"Docker, Kubernetes, Jenkins, AWS, Terraform, Ansible","Exciting opportunity for an experienced Infrastructure Engineer at our Surat office. The ideal candidate will have hands-on experience with Docker, Kubernetes, Jenkins, excellent communication skills, and a track record of delivering projects on time.",DevOps,Full-time,2026-03-13,LinkedIn
Backend Engineer,WebMob Technologies,"Surat, Gujarat, India",Surat,4-6 years,Not Disclosed,"C#, .NET Core, ASP.NET, SQL Server, Angular","Exciting opportunity for an experienced Backend Engineer at our Surat office. The ideal candidate will have hands-on experience with C#, .NET Core, ASP.NET, excellent communication skills, and a track record of delivering projects on time.",Software Development,Contract,2026-01-03,Naukri
Junior Data Scientist,Infosys BPO,"Surat, Gujarat, India",Surat,Fresher / 0-1 years,2.8-4.0 LPA,"Python, scikit-learn, Statistical Analysis, A/B Testing, Pandas","Seeking a motivated Junior Data Scientist to strengthen our Surat team. Experience with Python, scikit-learn, Statistical Analysis is mandatory. Participate in sprint planning, code reviews, and technical documentation.",Data Science,Full-time,2026-01-03,Naukri
UI/UX Designer,Mobisoft Infotech,"Surat, Gujarat, India",Surat,Fresher / 0-1 years,"₹17,070/month","Adobe Illustrator, Figma, Motion Design, Design Systems","Exciting opportunity for an experienced UI/UX Designer at our Surat office. The ideal candidate will have hands-on experience with Adobe Illustrator, Figma, Motion Design, excellent communication skills, and a track record of delivering projects on time.",UI / UX Design,Internship,2025-12-26,Indeed
React Native Developer,Infosys BPO,"Surat, Gujarat, India",Surat,Fresher / 0-1 years,"₹11,966/month","Flutter, Dart, Firebase, REST API, Android, iOS","We are hiring a talented React Native Developer for our Surat development centre. You will leverage your expertise in Flutter, Dart, Firebase to build scalable products. B.Tech/MCA preferred. Excellent growth opportunities.",Mobile App Development,Internship,2026-02-08,Glassdoor
SDET,QSS Technosoft,"Surat, Gujarat, India",Surat,7-10 years,28.5-37.2 LPA,"Appium, Mobile Testing, Java, TestNG, BDD, Cucumber","Seeking a motivated SDET to strengthen our Surat team. Experience with Appium, Mobile Testing, Java is mandatory. Participate in sprint planning, code reviews, and technical documentation.",QA / Software Testing,Full-time,2026-02-17,LinkedIn
Business Analyst,Infosys BPO,"Surat, Gujarat, India",Surat,4-6 years,Not Disclosed,"Power BI, SQL, Excel, Python, Data Visualization","We are hiring a talented Business Analyst for our Surat development centre. You will leverage your expertise in Power BI, SQL, Excel to build scalable products. B.Tech/MCA preferred. Excellent growth opportunities.",Data Analytics,Contract,2026-02-10,Glassdoor
CCNA Engineer,CMARIX Technolabs,"Surat, Gujarat, India",Surat,Fresher / 0-1 years,"₹12,460/month","Cisco, CCNA, Routing, Switching, OSPF, BGP","Join our dynamic IT team as a CCNA Engineer. Responsibilities include designing, developing, and maintaining solutions using Cisco, CCNA, Routing. Be part of an innovative team solving real-world problems for enterprise clients.",Network Engineering,Internship,2026-03-12,Glassdoor
Ethical Hacker,Synarion IT Solutions,"Surat, Gujarat, India",Surat,3-5 years,9.1-14.4 LPA,"Ethical Hacking, CEH, OSCP, Kali Linux, Penetration Testing","We are looking for a passionate Ethical Hacker to join our growing team in Surat. You will work with Ethical Hacking, CEH, OSCP and collaborate with cross-functional teams to deliver high-quality solutions. Strong problem-solving skills essential.",Cybersecurity,Full-time,2025-12-27,Indeed
Tableau Developer,Technosoft Solutions,"Surat, Gujarat, India",Surat,7-10 years,30.8-37.7 LPA,"Power BI, SQL, Excel, Python, Data Visualization","Join our dynamic IT team as a Tableau Developer. Responsibilities include designing, developing, and maintaining solutions using Power BI, SQL, Excel. Be part of an innovative team solving real-world problems for enterprise clients.",Data Analytics,Full-time,2026-01-10,LinkedIn
SDET,Softvan Pvt Ltd,"Surat, Gujarat, India",Surat,7-10 years,31.5-40.7 LPA,"Appium, Mobile Testing, Java, TestNG, BDD, Cucumber","Join our dynamic IT team as a SDET. Responsibilities include designing, developing, and maintaining solutions using Appium, Mobile Testing, Java. Be part of an innovative team solving real-world problems for enterprise clients.",QA / Software Testing,Contract,2026-03-07,Glassdoor
Web3 Developer,Softobiz Technologies,"Surat, Gujarat, India",Surat,5-8 years,Not Disclosed,"Hyperledger Fabric, Chaincode, Go, Docker, Blockchain","Seeking a motivated Web3 Developer to strengthen our Surat team. Experience with Hyperledger Fabric, Chaincode, Go is mandatory. Participate in sprint planning, code reviews, and technical documentation.",Blockchain Development,Full-time,2026-03-06,LinkedIn
Lead Data Scientist,Dev Technosys,"Surat, Gujarat, India",Surat,2-4 years,7.0-10.2 LPA,"Python, scikit-learn, Statistical Analysis, A/B Testing, Pandas","Seeking a motivated Lead Data Scientist to strengthen our Surat team. Experience with Python, scikit-learn, Statistical Analysis is mandatory. Participate in sprint planning, code reviews, and technical documentation.",Data Science,Full-time,2026-02-13,LinkedIn
Performance Test Engineer,DigiPrima Technologies,"Surat, Gujarat, India",Surat,10+ years,46.8-69.6 LPA,"Manual Testing, JIRA, Test Cases, Bug Reporting, Agile","Join our dynamic IT team as a Performance Test Engineer. Responsibilities include designing, developing, and maintaining solutions using Manual Testing, JIRA, Test Cases. Be part of an innovative team solving real-world problems for enterprise clients.",QA / Software Testing,Full-time,2025-12-25,Naukri
Interaction Designer,Orion InfoSolutions,"Surat, Gujarat, India",Surat,3-5 years,8.7-14.5 LPA,"Figma, User Research, Interaction Design, Usability Testing","We are hiring a talented Interaction Designer for our Surat development centre. You will leverage your expertise in Figma, User Research, Interaction Design to build scalable products. B.Tech/MCA preferred. Excellent growth opportunities.",UI / UX Design,Contract,2026-02-03,Naukri
React Developer,Technosoft Solutions,"Surat, Gujarat, India",Surat,Fresher / 0-1 years,"₹11,281/month","React, Node.js, JavaScript, HTML, CSS, MongoDB","Join our dynamic IT team as a React Developer. Responsibilities include designing, developing, and maintaining solutions using React, Node.js, JavaScript. Be part of an innovative team solving real-world problems for enterprise clients.",Web Development,Internship,2026-01-30,Naukri
L2 Support Engineer,Infosys BPO,"Surat, Gujarat, India",Surat,2-4 years,9.0-10.4 LPA,"L2 Support, ITIL, ServiceNow, Incident Management, Linux","Join our dynamic IT team as a L2 Support Engineer. Responsibilities include designing, developing, and maintaining solutions using L2 Support, ITIL, ServiceNow. Be part of an innovative team solving real-world problems for enterprise clients.",Technical Support / IT Operations,Contract,2026-03-01,LinkedIn
Tableau Developer,Mobisoft Infotech,"Surat, Gujarat, India",Surat,5-8 years,17.3-24.7 LPA,"Tableau, SQL, Python, Google Analytics, Looker","We are hiring a talented Tableau Developer for our Surat development centre. You will leverage your expertise in Tableau, SQL, Python to build scalable products. B.Tech/MCA preferred. Excellent growth opportunities.",Data Analytics,Contract,2026-02-23,Indeed
CCNA Engineer,Infowind Technologies,"Surat, Gujarat, India",Surat,Fresher / 0-1 years,"₹13,407/month","Network Administration, Firewalls, VPN, LAN, WAN","Join our dynamic IT team as a CCNA Engineer. Responsibilities include designing, developing, and maintaining solutions using Network Administration, Firewalls, VPN. Be part of an innovative team solving real-world problems for enterprise clients.",Network Engineering,Internship,2026-02-16,Indeed
Backend Engineer,ValueSoft Technologies,"Surat, Gujarat, India",Surat,5-8 years,18.0-28.0 LPA,"Go, Microservices, Docker, PostgreSQL, gRPC","We are looking for a passionate Backend Engineer to join our growing team in Surat. You will work with Go, Microservices, Docker and collaborate with cross-functional teams to deliver high-quality solutions. Strong problem-solving skills essential.",Software Development,Full-time,2026-01-26,LinkedIn
UI/UX Designer,Infowind Technologies,"Surat, Gujarat, India",Surat,4-6 years,15.1-19.9 LPA,"Figma, Adobe XD, Sketch, Prototyping, Wireframing","We are looking for a passionate UI/UX Designer to join our growing team in Surat. You will work with Figma, Adobe XD, Sketch and collaborate with cross-functional teams to deliver high-quality solutions. Strong problem-solving skills essential.",UI / UX Design,Full-time,2025-12-28,Indeed
Senior Data Engineer,Synarion IT Solutions,"Surat, Gujarat, India",Surat,Fresher / 0-1 years,"₹15,760/month","Python, ETL, Hadoop, Hive, HDFS, Data Pipeline","Join our dynamic IT team as a Senior Data Engineer. Responsibilities include designing, developing, and maintaining solutions using Python, ETL, Hadoop. Be part of an innovative team solving real-world problems for enterprise clients.",Data Engineering,Internship,2026-03-11,Naukri
Technical Support Analyst,Mobisoft Infotech,"Surat, Gujarat, India",Surat,2-4 years,7.4-9.6 LPA,"Technical Support, Windows Server, Active Directory, Help Desk","We are hiring a talented Technical Support Analyst for our Surat development centre. You will leverage your expertise in Technical Support, Windows Server, Active Directory to build scalable products. B.Tech/MCA preferred. Excellent growth opportunities.",Technical Support / IT Operations,Part-time,2026-02-10,Glassdoor
Software Engineer,Synarion IT Solutions,"Surat, Gujarat, India",Surat,Fresher / 0-1 years,"₹19,008/month","Java, Spring Boot, Microservices, REST API, MySQL","Exciting opportunity for an experienced Software Engineer at our Surat office. The ideal candidate will have hands-on experience with Java, Spring Boot, Microservices, excellent communication skills, and a track record of delivering projects on time.",Software Development,Internship,2026-03-19,LinkedIn
Game Programmer,CMARIX Technolabs,"Surat, Gujarat, India",Surat,4-6 years,14.8-17.5 LPA,"Unreal Engine, C++, Blueprint, Game Design","Join our dynamic IT team as a Game Programmer. Responsibilities include designing, developing, and maintaining solutions using Unreal Engine, C++, Blueprint. Be part of an innovative team solving real-world problems for enterprise clients.",Game Development,Full-time,2026-02-15,Naukri
Tableau Developer,Arrant Technologies,"Surat, Gujarat, India",Surat,2-4 years,8.4-10.0 LPA,"Power BI, DAX, SQL Server, Excel, Power Query","Exciting opportunity for an experienced Tableau Developer at our Surat office. The ideal candidate will have hands-on experience with Power BI, DAX, SQL Server, excellent communication skills, and a track record of delivering projects on time.",Data Analytics,Full-time,2025-12-31,Glassdoor
Senior Software Engineer,Softobiz Technologies,"Surat, Gujarat, India",Surat,4-6 years,16.3-21.5 LPA,"Java, Spring Boot, Microservices, REST API, MySQL","Seeking a motivated Senior Software Engineer to strengthen our Surat team. Experience with Java, Spring Boot, Microservices is mandatory. Participate in sprint planning, code reviews, and technical documentation.",Software Development,Full-time,2026-01-17,LinkedIn
React Native Developer,CMARIX Technolabs,"Surat, Gujarat, India",Surat,2-4 years,6.0-10.2 LPA,"Flutter, Dart, Firebase, REST API, Android, iOS","Exciting opportunity for an experienced React Native Developer at our Surat office. The ideal candidate will have hands-on experience with Flutter, Dart, Firebase, excellent communication skills, and a track record of delivering projects on time.",Mobile App Development,Full-time,2026-02-17,Glassdoor
Penetration Tester,Tata Consultancy Services,"Surat, Gujarat, India",Surat,4-6 years,12.3-17.6 LPA,"SOC Analyst, SIEM, Splunk, Incident Response, Threat Intelligence","Exciting opportunity for an experienced Penetration Tester at our Surat office. The ideal candidate will have hands-on experience with SOC Analyst, SIEM, Splunk, excellent communication skills, and a track record of delivering projects on time.",Cybersecurity,Part-time,2026-01-31,Indeed
System Administrator,DigiPrima Technologies,"Surat, Gujarat, India",Surat,5-8 years,19.3-26.2 LPA,"Technical Support, Windows Server, Active Directory, Help Desk","Exciting opportunity for an experienced System Administrator at our Surat office. The ideal candidate will have hands-on experience with Technical Support, Windows Server, Active Directory, excellent communication skills, and a track record of delivering projects on time.",Technical Support / IT Operations,Full-time,2026-02-04,LinkedIn
Tableau Developer,Mobisoft Infotech,"Surat, Gujarat, India",Surat,3-5 years,11.5-12.3 LPA,"Tableau, SQL, Python, Google Analytics, Looker","Seeking a motivated Tableau Developer to strengthen our Surat team. Experience with Tableau, SQL, Python is mandatory. Participate in sprint planning, code reviews, and technical documentation.",Data Analytics,Part-time,2025-12-23,LinkedIn
Mobile App Developer,Infosys BPO,"Surat, Gujarat, India",Surat,3-5 years,11.4-13.8 LPA,"Flutter, Dart, Firebase, REST API, Android, iOS","Join our dynamic IT team as a Mobile App Developer. Responsibilities include designing, developing, and maintaining solutions using Flutter, Dart, Firebase. Be part of an innovative team solving real-world problems for enterprise clients.",Mobile App Development,Full-time,2026-01-08,LinkedIn
Oracle ERP Consultant,Dev Technosys,"Surat, Gujarat, India",Surat,Fresher / 0-1 years,"₹5,866/month","SAP ABAP, SAP FICO, SAP SD, SAP MM, HANA","Seeking a motivated Oracle ERP Consultant to strengthen our Surat team. Experience with SAP ABAP, SAP FICO, SAP SD is mandatory. Participate in sprint planning, code reviews, and technical documentation.",ERP / Enterprise Systems,Internship,2026-01-23,Glassdoor
System Administrator,ValueSoft Technologies,"Surat, Gujarat, India",Surat,4-6 years,14.9-17.2 LPA,"Technical Support, Windows Server, Active Directory, Help Desk","Exciting opportunity for an experienced System Administrator at our Surat office. The ideal candidate will have hands-on experience with Technical Support, Windows Server, Active Directory, excellent communication skills, and a track record of delivering projects on time.",Technical Support / IT Operations,Part-time,2026-03-15,Naukri
SAP ABAP Developer,Arrant Technologies,"Surat, Gujarat, India",Surat,Fresher / 0-1 years,"₹16,534/month","SAP ABAP, SAP FICO, SAP SD, SAP MM, HANA","Exciting opportunity for an experienced SAP ABAP Developer at our Surat office. The ideal candidate will have hands-on experience with SAP ABAP, SAP FICO, SAP SD, excellent communication skills, and a track record of delivering projects on time.",ERP / Enterprise Systems,Internship,2025-12-31,Indeed
Web3 Developer,ValueSoft Technologies,"Surat, Gujarat, India",Surat,Fresher / 0-1 years,"₹15,240/month","Hyperledger Fabric, Chaincode, Go, Docker, Blockchain","We are looking for a passionate Web3 Developer to join our growing team in Surat. You will work with Hyperledger Fabric, Chaincode, Go and collaborate with cross-functional teams to deliver high-quality solutions. Strong problem-solving skills essential.",Blockchain Development,Internship,2025-12-29,Glassdoor
MySQL DBA,QSS Technosoft,"Surat, Gujarat, India",Surat,1-3 years,5.1-7.5 LPA,"SQL Server, SSRS, SSIS, T-SQL, Database Administration","We are hiring a talented MySQL DBA for our Surat development centre. You will leverage your expertise in SQL Server, SSRS, SSIS to build scalable products. B.Tech/MCA preferred. Excellent growth opportunities.",Database Administration,Contract,2026-03-23,LinkedIn
Machine Learning Engineer,Mobisoft Infotech,"Surat, Gujarat, India",Surat,7-10 years,Not Disclosed,"Python, ML Engineer, MLflow, Kubeflow, Feature Store","Exciting opportunity for an experienced Machine Learning Engineer at our Surat office. The ideal candidate will have hands-on experience with Python, ML Engineer, MLflow, excellent communication skills, and a track record of delivering projects on time.",Artificial Intelligence / Machine Learning,Full-time,2026-03-09,Glassdoor
PHP Developer,Tata Consultancy Services,"Surat, Gujarat, India",Surat,3-5 years,10.4-13.8 LPA,"Django, Python, PostgreSQL, React, REST API","We are looking for a passionate PHP Developer to join our growing team in Surat. You will work with Django, Python, PostgreSQL and collaborate with cross-functional teams to deliver high-quality solutions. Strong problem-solving skills essential.",Web Development,Full-time,2026-03-17,LinkedIn
Software Engineer,Dev Technosys,"Surat, Gujarat, India",Surat,3-5 years,10.0-13.2 LPA,"Go, Microservices, Docker, PostgreSQL, gRPC","Exciting opportunity for an experienced Software Engineer at our Surat office. The ideal candidate will have hands-on experience with Go, Microservices, Docker, excellent communication skills, and a track record of delivering projects on time.",Software Development,Full-time,2026-01-09,LinkedIn
Mobile App Developer,Synarion IT Solutions,"Surat, Gujarat, India",Surat,4-6 years,Not Disclosed,"Android, Kotlin, Java, Retrofit, Room, Jetpack","Seeking a motivated Mobile App Developer to strengthen our Surat team. Experience with Android, Kotlin, Java is mandatory. Participate in sprint planning, code reviews, and technical documentation.",Mobile App Development,Part-time,2026-01-07,LinkedIn
MySQL DBA,HData Systems,"Surat, Gujarat, India",Surat,10+ years,48.8-58.1 LPA,"SQL Server, SSRS, SSIS, T-SQL, Database Administration","We are hiring a talented MySQL DBA for our Surat development centre. You will leverage your expertise in SQL Server, SSRS, SSIS to build scalable products. B.Tech/MCA preferred. Excellent growth opportunities.",Database Administration,Full-time,2026-03-04,Naukri
Senior Software Engineer,Synarion IT Solutions,"Surat, Gujarat, India",Surat,3-5 years,11.2-15.7 LPA,"Go, Microservices, Docker, PostgreSQL, gRPC","Exciting opportunity for an experienced Senior Software Engineer at our Surat office. The ideal candidate will have hands-on experience with Go, Microservices, Docker, excellent communication skills, and a track record of delivering projects on time.",Software Development,Part-time,2026-01-29,Indeed
Automation Test Engineer,Synarion IT Solutions,"Surat, Gujarat, India",Surat,4-6 years,Not Disclosed,"Manual Testing, JIRA, Test Cases, Bug Reporting, Agile","We are looking for a passionate Automation Test Engineer to join our growing team in Surat. You will work with Manual Testing, JIRA, Test Cases and collaborate with cross-functional teams to deliver high-quality solutions. Strong problem-solving skills essential.",QA / Software Testing,Full-time,2026-02-27,LinkedIn
PHP Developer,Infosys BPO,"Surat, Gujarat, India",Surat,1-3 years,4.4-6.4 LPA,"PHP, Laravel, MySQL, JavaScript, jQuery, Bootstrap","Seeking a motivated PHP Developer to strengthen our Surat team. Experience with PHP, Laravel, MySQL is mandatory. Participate in sprint planning, code reviews, and technical documentation.",Web Development,Contract,2026-02-13,LinkedIn
Cybersecurity Analyst,Infowind Technologies,"Surat, Gujarat, India",Surat,1-3 years,5.4-6.8 LPA,"Network Security, VAPT, Burp Suite, Nmap, Metasploit","Seeking a motivated Cybersecurity Analyst to strengthen our Surat team. Experience with Network Security, VAPT, Burp Suite is mandatory. Participate in sprint planning, code reviews, and technical documentation.",Cybersecurity,Full-time,2026-02-10,Glassdoor
NLP Engineer,Mobisoft Infotech,"Surat, Gujarat, India",Surat,5-8 years,Not Disclosed,"Python, ML Engineer, MLflow, Kubeflow, Feature Store","Join our dynamic IT team as a NLP Engineer. Responsibilities include designing, developing, and maintaining solutions using Python, ML Engineer, MLflow. Be part of an innovative team solving real-world problems for enterprise clients.",Artificial Intelligence / Machine Learning,Full-time,2026-01-22,Indeed
Machine Learning Engineer,QSS Technosoft,"Surat, Gujarat, India",Surat,5-8 years,Not Disclosed,"Python, Machine Learning, Deep Learning, Computer Vision, OpenCV","Seeking a motivated Machine Learning Engineer to strengthen our Surat team. Experience with Python, Machine Learning, Deep Learning is mandatory. Participate in sprint planning, code reviews, and technical documentation.",Artificial Intelligence / Machine Learning,Full-time,2026-01-12,Glassdoor
Network Architect,WebMob Technologies,"Surat, Gujarat, India",Surat,3-5 years,10.3-13.0 LPA,"Network Administration, Firewalls, VPN, LAN, WAN","We are hiring a talented Network Architect for our Surat development centre. You will leverage your expertise in Network Administration, Firewalls, VPN to build scalable products. B.Tech/MCA preferred. Excellent growth opportunities.",Network Engineering,Full-time,2025-12-26,Indeed
React Native Developer,Dev Technosys,"Surat, Gujarat, India",Surat,2-4 years,8.2-10.5 LPA,"iOS, Swift, SwiftUI, Xcode, Core Data","Exciting opportunity for an experienced React Native Developer at our Surat office. The ideal candidate will have hands-on experience with iOS, Swift, SwiftUI, excellent communication skills, and a track record of delivering projects on time.",Mobile App Development,Full-time,2026-01-13,Indeed
Unity Developer,Softvan Pvt Ltd,"Surat, Gujarat, India",Surat,Fresher / 0-1 years,"₹17,638/month","Unity, C#, 3D Modeling, Blender, Shader Programming","Exciting opportunity for an experienced Unity Developer at our Surat office. The ideal candidate will have hands-on experience with Unity, C#, 3D Modeling, excellent communication skills, and a track record of delivering projects on time.",Game Development,Internship,2026-02-22,Naukri
Full Stack Developer,Infowind Technologies,"Surat, Gujarat, India",Surat,10+ years,46.2-68.8 LPA,"React, Node.js, JavaScript, HTML, CSS, MongoDB","Seeking a motivated Full Stack Developer to strengthen our Surat team. Experience with React, Node.js, JavaScript is mandatory. Participate in sprint planning, code reviews, and technical documentation.",Web Development,Full-time,2025-12-29,Indeed
SAP ABAP Developer,Mobisoft Infotech,"Surat, Gujarat, India",Surat,7-10 years,30.3-39.7 LPA,"SAP Basis, SAP Hana, SAP BW, SAP S/4HANA, ERP","Seeking a motivated SAP ABAP Developer to strengthen our Surat team. Experience with SAP Basis, SAP Hana, SAP BW is mandatory. Participate in sprint planning, code reviews, and technical documentation.",ERP / Enterprise Systems,Full-time,2026-01-18,Naukri
GCP Engineer,Technosoft Solutions,"Surat, Gujarat, India",Surat,1-3 years,5.2-6.5 LPA,"AWS, EC2, S3, Lambda, RDS, CloudFormation","Exciting opportunity for an experienced GCP Engineer at our Surat office. The ideal candidate will have hands-on experience with AWS, EC2, S3, excellent communication skills, and a track record of delivering projects on time.",Cloud Computing,Full-time,2026-02-01,LinkedIn
PHP Developer,Synarion IT Solutions,"Surat, Gujarat, India",Surat,3-5 years,10.6-15.4 LPA,"Next.js, React, Node.js, PostgreSQL, GraphQL, TypeScript","We are looking for a passionate PHP Developer to join our growing team in Surat. You will work with Next.js, React, Node.js and collaborate with cross-functional teams to deliver high-quality solutions. Strong problem-solving skills essential.",Web Development,Part-time,2026-03-12,Indeed
React Native Developer,Infosys BPO,"Surat, Gujarat, India",Surat,Fresher / 0-1 years,3.6-4.6 LPA,"iOS, Swift, SwiftUI, Xcode, Core Data","We are hiring a talented React Native Developer for our Surat development centre. You will leverage your expertise in iOS, Swift, SwiftUI to build scalable products. B.Tech/MCA preferred. Excellent growth opportunities.",Mobile App Development,Full-time,2026-03-11,LinkedIn
Data Engineer,Infowind Technologies,"Surat, Gujarat, India",Surat,10+ years,47.0-57.4 LPA,"Python, Apache Spark, Kafka, Airflow, AWS, SQL","We are looking for a passionate Data Engineer to join our growing team in Surat. You will work with Python, Apache Spark, Kafka and collaborate with cross-functional teams to deliver high-quality solutions. Strong problem-solving skills essential.",Data Engineering,Full-time,2025-12-29,Indeed
Node.js Developer,Infowind Technologies,"Surat, Gujarat, India",Surat,2-4 years,6.5-9.7 LPA,"React, Node.js, JavaScript, HTML, CSS, MongoDB","Join our dynamic IT team as a Node.js Developer. Responsibilities include designing, developing, and maintaining solutions using React, Node.js, JavaScript. Be part of an innovative team solving real-world problems for enterprise clients.",Web Development,Full-time,2026-02-02,Glassdoor
System Administrator,WebMob Technologies,"Surat, Gujarat, India",Surat,1-3 years,4.9-7.7 LPA,"L2 Support, ITIL, ServiceNow, Incident Management, Linux","We are looking for a passionate System Administrator to join our growing team in Surat. You will work with L2 Support, ITIL, ServiceNow and collaborate with cross-functional teams to deliver high-quality solutions. Strong problem-solving skills essential.",Technical Support / IT Operations,Full-time,2026-01-04,Indeed
SOC Analyst,Tata Consultancy Services,"Surat, Gujarat, India",Surat,Fresher / 0-1 years,"₹10,337/month","Ethical Hacking, CEH, OSCP, Kali Linux, Penetration Testing","Exciting opportunity for an experienced SOC Analyst at our Surat office. The ideal candidate will have hands-on experience with Ethical Hacking, CEH, OSCP, excellent communication skills, and a track record of delivering projects on time.",Cybersecurity,Internship,2026-02-03,Glassdoor
Tableau Developer,ValueSoft Technologies,"Surat, Gujarat, India",Surat,1-3 years,4.2-6.3 LPA,"Power BI, DAX, SQL Server, Excel, Power Query","We are looking for a passionate Tableau Developer to join our growing team in Surat. You will work with Power BI, DAX, SQL Server and collaborate with cross-functional teams to deliver high-quality solutions. Strong problem-solving skills essential.",Data Analytics,Full-time,2026-01-01,Indeed
PHP Developer,QSS Technosoft,"Surat, Gujarat, India",Surat,1-3 years,Not Disclosed,"Vue.js, Laravel, PHP, MySQL, REST API, Docker","Join our dynamic IT team as a PHP Developer. Responsibilities include designing, developing, and maintaining solutions using Vue.js, Laravel, PHP. Be part of an innovative team solving real-world problems for enterprise clients.",Web Development,Full-time,2026-03-12,Naukri
Software Developer,Technosoft Solutions,"Surat, Gujarat, India",Surat,Fresher / 0-1 years,2.6-4.5 LPA,"Go, Microservices, Docker, PostgreSQL, gRPC","Seeking a motivated Software Developer to strengthen our Surat team. Experience with Go, Microservices, Docker is mandatory. Participate in sprint planning, code reviews, and technical documentation.",Software Development,Full-time,2026-02-02,Naukri
PHP Developer,Softvan Pvt Ltd,"Surat, Gujarat, India",Surat,3-5 years,8.7-13.1 LPA,"Next.js, React, Node.js, PostgreSQL, GraphQL, TypeScript","We are hiring a talented PHP Developer for our Surat development centre. You will leverage your expertise in Next.js, React, Node.js to build scalable products. B.Tech/MCA preferred. Excellent growth opportunities.",Web Development,Part-time,2026-03-05,LinkedIn
PHP Developer,HData Systems,"Surat, Gujarat, India",Surat,4-6 years,13.3-18.2 LPA,"Vue.js, Laravel, PHP, MySQL, REST API, Docker","Join our dynamic IT team as a PHP Developer. Responsibilities include designing, developing, and maintaining solutions using Vue.js, Laravel, PHP. Be part of an innovative team solving real-world problems for enterprise clients.",Web Development,Full-time,2026-01-06,Glassdoor
UI/UX Designer,WebMob Technologies,"Surat, Gujarat, India",Surat,Fresher / 0-1 years,"₹17,624/month","Figma, Adobe XD, Sketch, Prototyping, Wireframing","Join our dynamic IT team as a UI/UX Designer. Responsibilities include designing, developing, and maintaining solutions using Figma, Adobe XD, Sketch. Be part of an innovative team solving real-world problems for enterprise clients.",UI / UX Design,Internship,2026-02-03,Naukri
Azure Cloud Engineer,Softobiz Technologies,"Surat, Gujarat, India",Surat,7-10 years,28.9-41.5 LPA,"Azure, Azure DevOps, ARM Templates, Azure Functions","Join our dynamic IT team as a Azure Cloud Engineer. Responsibilities include designing, developing, and maintaining solutions using Azure, Azure DevOps, ARM Templates. Be part of an innovative team solving real-world problems for enterprise clients.",Cloud Computing,Full-time,2026-03-01,LinkedIn
IoT Developer,Arrant Technologies,"Surat, Gujarat, India",Surat,Fresher / 0-1 years,"₹17,247/month","Arduino, Raspberry Pi, IoT, MQTT, Python, C++","Join our dynamic IT team as a IoT Developer. Responsibilities include designing, developing, and maintaining solutions using Arduino, Raspberry Pi, IoT. Be part of an innovative team solving real-world problems for enterprise clients.",Embedded Systems / IoT,Internship,2026-02-01,Indeed
Mobile App Developer,Mobisoft Infotech,"Surat, Gujarat, India",Surat,2-4 years,8.8-9.6 LPA,"React Native, JavaScript, Redux, Firebase, Expo","We are hiring a talented Mobile App Developer for our Surat development centre. You will leverage your expertise in React Native, JavaScript, Redux to build scalable products. B.Tech/MCA preferred. Excellent growth opportunities.",Mobile App Development,Part-time,2025-12-25,Naukri
